layer,multiplier,index,origin,loss
0,0.0,0,openwebtext-128-64,2.9521849155426025
1,0.0,0,openwebtext-128-64,2.9521849155426025
2,0.0,0,openwebtext-128-64,2.9521849155426025
3,0.0,0,openwebtext-128-64,2.9521849155426025
4,0.0,0,openwebtext-128-64,2.9521849155426025
5,0.0,0,openwebtext-128-64,2.9521849155426025
6,0.0,0,openwebtext-128-64,2.9521849155426025
7,0.0,0,openwebtext-128-64,2.9521849155426025
8,0.0,0,openwebtext-128-64,2.9521849155426025
9,0.0,0,openwebtext-128-64,2.9521849155426025
10,0.0,0,openwebtext-128-64,2.9521849155426025
11,0.0,0,openwebtext-128-64,2.9521849155426025
8,-1.0,0,openwebtext-128-64,3.3395442962646484
8,-0.5,0,openwebtext-128-64,3.22983717918396
8,-0.2,0,openwebtext-128-64,3.1195249557495117
8,-0.15,0,openwebtext-128-64,3.0860328674316406
8,-0.1,0,openwebtext-128-64,3.0348944664001465
8,-0.05,0,openwebtext-128-64,2.9698197841644287
8,0.05,0,openwebtext-128-64,3.038004159927368
8,0.1,0,openwebtext-128-64,3.3451669216156006
8,0.15,0,openwebtext-128-64,3.9389047622680664
8,0.2,0,openwebtext-128-64,4.696442604064941
8,0.5,0,openwebtext-128-64,12.546813011169434
8,1.0,0,openwebtext-128-64,17.879329681396484
0,0.0,1,openwebtext-128-64,3.4080770015716553
1,0.0,1,openwebtext-128-64,3.4080770015716553
2,0.0,1,openwebtext-128-64,3.4080770015716553
3,0.0,1,openwebtext-128-64,3.4080770015716553
4,0.0,1,openwebtext-128-64,3.4080770015716553
5,0.0,1,openwebtext-128-64,3.4080770015716553
6,0.0,1,openwebtext-128-64,3.4080770015716553
7,0.0,1,openwebtext-128-64,3.4080770015716553
8,0.0,1,openwebtext-128-64,3.4080770015716553
9,0.0,1,openwebtext-128-64,3.4080770015716553
10,0.0,1,openwebtext-128-64,3.4080770015716553
11,0.0,1,openwebtext-128-64,3.4080770015716553
8,-1.0,1,openwebtext-128-64,3.7372376918792725
8,-0.5,1,openwebtext-128-64,3.637727975845337
8,-0.2,1,openwebtext-128-64,3.5761303901672363
8,-0.15,1,openwebtext-128-64,3.556642532348633
8,-0.1,1,openwebtext-128-64,3.5162386894226074
8,-0.05,1,openwebtext-128-64,3.4469492435455322
8,0.05,1,openwebtext-128-64,3.4273364543914795
8,0.1,1,openwebtext-128-64,3.899275064468384
8,0.15,1,openwebtext-128-64,4.585355758666992
8,0.2,1,openwebtext-128-64,5.260901927947998
8,0.5,1,openwebtext-128-64,10.903728485107422
8,1.0,1,openwebtext-128-64,18.004837036132812
0,0.0,2,openwebtext-128-64,3.0914390087127686
1,0.0,2,openwebtext-128-64,3.0914390087127686
2,0.0,2,openwebtext-128-64,3.0914390087127686
3,0.0,2,openwebtext-128-64,3.0914390087127686
4,0.0,2,openwebtext-128-64,3.0914390087127686
5,0.0,2,openwebtext-128-64,3.0914390087127686
6,0.0,2,openwebtext-128-64,3.0914390087127686
7,0.0,2,openwebtext-128-64,3.0914390087127686
8,0.0,2,openwebtext-128-64,3.0914390087127686
9,0.0,2,openwebtext-128-64,3.0914390087127686
10,0.0,2,openwebtext-128-64,3.0914390087127686
11,0.0,2,openwebtext-128-64,3.0914390087127686
8,-1.0,2,openwebtext-128-64,3.2010445594787598
8,-0.5,2,openwebtext-128-64,3.1174070835113525
8,-0.2,2,openwebtext-128-64,3.090879440307617
8,-0.15,2,openwebtext-128-64,3.0888566970825195
8,-0.1,2,openwebtext-128-64,3.086290121078491
8,-0.05,2,openwebtext-128-64,3.083796739578247
8,0.05,2,openwebtext-128-64,3.128173351287842
8,0.1,2,openwebtext-128-64,3.31963849067688
8,0.15,2,openwebtext-128-64,3.6496741771698
8,0.2,2,openwebtext-128-64,4.011232852935791
8,0.5,2,openwebtext-128-64,10.059611320495605
8,1.0,2,openwebtext-128-64,15.873581886291504
0,0.0,3,openwebtext-128-64,2.753896951675415
1,0.0,3,openwebtext-128-64,2.753896951675415
2,0.0,3,openwebtext-128-64,2.753896951675415
3,0.0,3,openwebtext-128-64,2.753896951675415
4,0.0,3,openwebtext-128-64,2.753896951675415
5,0.0,3,openwebtext-128-64,2.753896951675415
6,0.0,3,openwebtext-128-64,2.753896951675415
7,0.0,3,openwebtext-128-64,2.753896951675415
8,0.0,3,openwebtext-128-64,2.753896951675415
9,0.0,3,openwebtext-128-64,2.753896951675415
10,0.0,3,openwebtext-128-64,2.753896951675415
11,0.0,3,openwebtext-128-64,2.753896951675415
8,-1.0,3,openwebtext-128-64,2.9530129432678223
8,-0.5,3,openwebtext-128-64,2.8627593517303467
8,-0.2,3,openwebtext-128-64,2.841555118560791
8,-0.15,3,openwebtext-128-64,2.8333003520965576
8,-0.1,3,openwebtext-128-64,2.811375141143799
8,-0.05,3,openwebtext-128-64,2.775021553039551
8,0.05,3,openwebtext-128-64,2.800450086593628
8,0.1,3,openwebtext-128-64,3.056720733642578
8,0.15,3,openwebtext-128-64,3.5253190994262695
8,0.2,3,openwebtext-128-64,4.0951337814331055
8,0.5,3,openwebtext-128-64,10.019058227539062
8,1.0,3,openwebtext-128-64,16.54660415649414
0,0.0,4,openwebtext-128-64,3.9116735458374023
1,0.0,4,openwebtext-128-64,3.9116735458374023
2,0.0,4,openwebtext-128-64,3.9116735458374023
3,0.0,4,openwebtext-128-64,3.9116735458374023
4,0.0,4,openwebtext-128-64,3.9116735458374023
5,0.0,4,openwebtext-128-64,3.9116735458374023
6,0.0,4,openwebtext-128-64,3.9116735458374023
7,0.0,4,openwebtext-128-64,3.9116735458374023
8,0.0,4,openwebtext-128-64,3.9116735458374023
9,0.0,4,openwebtext-128-64,3.9116735458374023
10,0.0,4,openwebtext-128-64,3.9116735458374023
